,funds,link,location,title
98,"
$0 raised of $1,000                    ",https://www.gofundme.com/young-republicans-rally-nyc-union-square,"New York, NY",Young Republicans Rally NYC. Union Square
99,"
$0 raised of $5,000                    ",https://www.gofundme.com/republican-presidential-candidate,"Temecula, CA",USA Presidential Candidate
100,"
$0 raised of $10,000                    ",https://www.gofundme.com/1oi4td52o0,"Dallas, TX",Gun Training For Young Republicans
101,"
$0 raised of $1,200                    ",https://www.gofundme.com/5r3dut-abortion-needed,"Birmingham, AL",Young Republicans
102,"
$0 raised of $1.8M                    ",https://www.gofundme.com/kwame-for-usa,"Long Beach, CA",Republican Presidential Candidate Fundraising
103,"
$0 raised of $1,000                    ",https://www.gofundme.com/1ofksdcg2o,"Seattle, WA",Mexican Republican
104,"
$0 raised of $250,000                    ",https://www.gofundme.com/support-our-senate-republicans,"Portland, OR",Support our senate republicans
105,"
$0 raised of $500,000                    ",https://www.gofundme.com/republicans-legal-fee-fund,"Mannford, OK",Republicans legal fee fund
106,"
$0 raised of $50,000                    ",https://www.gofundme.com/need-help-from-fellow-republicans,"San Fernando, CA",Need Help From Fellow Republicans!
107,"
$0 raised of $65,000                    ",https://www.gofundme.com/help-a-republican-get-into-college,"Queens Village, NY",Help a republican get into college
108,"
£0 raised of £1,000                    ",https://www.gofundme.com/national-republican-front-party,"Cove, ENG",National Republican Front Organisation
109,"
$0 raised of $75,000                    ",https://www.gofundme.com/republican-awareness-for-our-youth,"Houston, TX",Republican awareness for our youth.
110,"
$0 raised of $250,000                    ",https://www.gofundme.com/take-back-the-house-for-republicans,"New Orleans, LA",Take Back The House for Republicans
111,"
$0 raised of $150,000                    ",https://www.gofundme.com/nmn67u-republican-or-democrat,"Fort Payne, AL",family home and car
112,"
$0 raised of $11,000                    ",https://www.gofundme.com/are-you-a-democrat-or-a-republican,"Philadelphia, PA",Are you a Democrat or a Republican
113,"
$0 raised of $12,000                    ",https://www.gofundme.com/national-teenage-republican-conference-leadership,"Winfield, KS",National Teenage Republican Conference Leadership
114,"
$0 raised of $3,000                    ",https://www.gofundme.com/valley-pride-dominican-republican-baseball,"Dinuba, CA",Valley Pride Jose Dominican Republican baseball
115,"
$0 raised of $50,000                    ",https://www.gofundme.com/RepublicansSavingAmerica,"Pittsburgh, PA",Black Republicans for President Trump
116,"
$0 raised of $200                    ",https://www.gofundme.com/1n1t0uuftc,"Augusta, GA",Emergency Contraceptive In Republicans Honor
117,"
$0 raised of $2,000                    ",https://www.gofundme.com/mp9ap-nursing-classes,"El Cajon, CA",Make Me Vote Republican!
118,"
$0 raised of $5,000                    ",https://www.gofundme.com/help-a-local-republican,"Corpus Christi, TX",Help a local republican
119,"
$0 raised of $100,000                    ",https://www.gofundme.com/VoteRepublican2020,"Valley Springs, CA",Vote Republican 2020!
120,"
$0 raised of $1                    ",https://www.gofundme.com/republicans-put-your-money-where-your-mouth-is,"Scarborough, ME",Republicans - Put Your Money Where Your Mouth Is!
121,"
$0 raised of $10,000                    ",https://www.gofundme.com/hispanics-republicans,"Brooklyn, NY",Hispanics Republicans
122,"
$0 raised of $5,000                    ",https://www.gofundme.com/the-republican-party-of-australia,"Hunters Hill, NSW",The Republican Party of Australia
123,"
$0 raised of $14,000                    ",https://www.gofundme.com/republican-collectible-trading-cards,"Silver Spring, MD",Republican collectible trading cards
124,"
$0 raised of $750,000                    ",https://www.gofundme.com/young-republicans-of-Washington,"Yakima, WA",Young Republicans of Washington
125,"
$0 raised of $100,000                    ",https://www.gofundme.com/identity-verified-republican-informative-website,"Escondido, CA",Identity verified Republican discourse website
126,"
$0 raised of $50,000                    ",https://www.gofundme.com/eqkyt-republican-or-democrat,"Grand Junction, CO",Marvel vs. DC
127,"
$0 raised of $10,000                    ",https://www.gofundme.com/african-american-republicans-of-illinois,"Chicago, IL",African American Republicans of Illinois
128,"
$0 raised of $8,000                    ",https://www.gofundme.com/illinois-republicans-seeking-asylum-down-south,"Kewanee, IL",Illinois Republicans seeking Asylum down South
129,"
$0 raised of $100,000                    ",https://www.gofundme.com/confuse-republicans-and-democrats,"Paducah, KY",Confuse Republicans and Democrats
130,"
$0 raised of $10,000                    ",https://www.gofundme.com/1lu8ntiaqo,"Washington, DC",Reform REPUBLICAN Newborn NeedS HELP
131,"
$0 raised of $2                    ",https://www.gofundme.com/i-was-ganged-up-by-2-racist-republicans,"Port Charlotte, FL",i was ganged up by 2 racist republicans :(
132,"
$0 raised of $110                    ",https://www.gofundme.com/young-republican-wants-to-help-fund-trumps-wall,"Brandenburg, KY",Young Republican wants to help fund Trumps Wall.
133,"
$0 raised of $20,000                    ",https://www.gofundme.com/young-republican-in-need-of-help,"Philadelphia, PA",Young Republican in Need of Help
134,"
$0 raised of $10,000                    ",https://www.gofundme.com/1lk0b58hc0,"Los Angeles, CA",Reformed Republican
135,"
$0 raised of $25,000                    ",https://www.gofundme.com/born-again-black-republican,"Grand Prairie, TX",Born Again Black Republican
136,"
$0 raised of $5,000                    ",https://www.gofundme.com/jup6z-reformed-republican,"Forney, TX",Reformed Republican
137,"
$0 raised of $10,000                    ",https://www.gofundme.com/reformed-republican,"Washington, DC",Reformed Republican
138,"
$0 raised of $10.0M                    ",https://www.gofundme.com/real-republican-running-for-real-president,"Montegut, LA",Real republican running for real President
139,"
$0 raised of $2,600                    ",https://www.gofundme.com/3fyh8e-dominican-republican-trip,"Killeen, TX",Dominican republican trip
140,"
$0 raised of $1,000                    ",https://www.gofundme.com/help-the-ucf-college-republicans-get-to-cpac,"Orlando, FL",Help the UCF College Republicans get to CPAC
